Value,
"ADJUST/ALIGN/CALIBRATE - A",
"BOOT/REBOOT/RESET - B",
"CLEAN/DUST/VACUUM - D",
"CONNECT/RECONNECT - E",
"MODIFY/ALTER - R",
"MONITOR/INVESTIGATE - S",
"PERFORM/PREPARE - W",
"REMOVE/REPAIR/REPLACE - Y",
"REMOVE/REPLACE - Z",
"REPAIR/RESTORE/ASSEMBLE - 1",
"STRAIGHTEN/BEND/TRACK - 4",
"TEST/ISOLATE/INSPECT - 5",
"TIGHTEN/SECURE/ANCHOR - 7",
"WELD/SOLDER/SPLICE - 9",
