"NO.","PART DESCRIPTION","REF.","STOCK NO.","PART NO.","CAGE"
"","Electronics Enclosure Assembly","","7025-04-000-6085","32.1578.340-00","57219"
"","","","","",""
"1","Lamp,Led,Mr16,12V,6.5W,4000K,500Lum,Gu5.3 Base","","6240-10-000-0836","LED-6MR16DIM840","OA6Z1"
"1","Lamp,Led,Mr16,12V,6.5W,4000K,500Lum,Gu5.3 Base","","6240-10-000-0836","25475","08806"
"2","Filter, dust, 118 mm square, 8 mm thick","","4130-04-000-6107","32.1572.410-04","57219"
"3","Filter, dust, fleece, fine,118 mm square x 0.29 mm thick","","4130-04-000-6108","32.1578.220-03","57219"
