"NO.","PART DESCRIPTION","REF.","STOCK NO.","PART NO.","CAGE"
"","ICS-3  Reader System Components","","","",""
"","","","","",""
"1","ICS CABINET ASSEMBLY, SICS","See Figure 3-2","7025-05-000-1773","32.1557.712-00","57219"
"2","ICS CABINET ASSEMBLY, PICS","See Figure 3-3","NSL","32.1557.711-00","57219"
"3","SCAN HEAD ASSEMBLY","See Figure 3-4","7025-04-000-6086","32.1578.351-00","57219"
"4","ELECTRONICS ENCLOSURE ASSEMBLY","See Figure 3-5","7025-04-000-6085","32.1578.340-00","57219"
