"NO.","PART DESCRIPTION","REF.","STOCK NO.","PART NO.","CAGE","Location","QTY"
"19","Drive, hard, ultra-SCSI, 9.1 gb","Figure 3-2.csv","7025-04-000-6582","ST39173W","65867","NONSTOCK","0"
"20","Adapter, network, I/F, PCI, UTP, BNC","Figure 3-2.csv","NSL","150-0388-001","57219","Not Stocked Locally",""
"21","Card Assembly, controller, PCI, raid","Figure 3-2.csv","7035-04-000-6158","DAC960PTL-0","0H504","Not Stocked Locally",""
"22","Fan, brushless, dc,12 v,1-9/16 inch square,7/16 inch wide, used on dataport","Figure 3-2.csv","4140-04-000-9855","DPFAN","0NCS7","C26C1","1"
"23","Power Supply, 1400 VA, 6 AC outlets","Figure 3-2.csv","6130-10-000-8370","SUA1500RM2U","0MG77","Not Stocked Locally",""
"23","Power Supply, 1400 VA, 6 AC outlets","Figure 3-2.csv","6130-10-000-8370","121K185H01","97942","Not Stocked Locally",""
"24","Connector, BNC, tee, 50 ohm","Figure 3-2.csv","5935-01-281-8092","124-0688-001","57219","F22A3","4"
"24","Connector, BNC, tee, 50 ohm","Figure 3-2.csv","5935-01-281-8092","27215","0T688","F22A3","4"
"24","Connector, BNC, tee, 50 ohm","Figure 3-2.csv","5935-01-281-8092","H8223-00","15476","F22A3","4"
"25","Connector terminator, BNC, 50 ohms","Figure 3-2.csv","5895-02-000-4591","KC-89-64","91836","F18H4","4"
"25","Connector terminator, BNC, 50 ohms","Figure 3-2.csv","5895-02-000-4591","FC135","59951","F18H4","4"
"26","Modem, external","Figure 3-2.csv","5895-04-000-6081","USR5686D","1B8Q7","Not Stocked Locally",""
"26","Modem, external","Figure 3-2.csv","5895-04-000-6081","102-0366-001","57219","Not Stocked Locally",""
"27","Cable Assembly, modem, 15 foot","Figure 3-2.csv","6150-03-000-4612","156-0381-001","57219","F24D1","1"
"27","Cable Assembly, modem, 15 foot","Figure 3-2.csv","6150-03-000-4612","5045-0015","4T656","F24D1","1"
"28","Nameplate, 7.5 mm, with adhesive","Figure 3-2.csv","NSL","H66355-A75-K1","ZAHNL","Not Stocked Locally",""
"29","Label, cabinet ID, SICS","Figure 3-2.csv","NSL","32.1557.712-01","57219","Not Stocked Locally",""
"","ICS Cabinet Assembly, PICS","Figure 3-3.csv","NSL","32.1557.711-00","57219","Not Stocked Locally",""
"1","Cabinet, computer, ICS","Figure 3-3.csv","7025-06-000-8087","202-0088-001","57219","Not Stocked Locally",""
"1","Cabinet, computer, ICS","Figure 3-3.csv","7025-06-000-8087","WA4-421930-USPS-5","0HLX1","Not Stocked Locally",""
"2","Monitor, SVGA, 17 inch, 1024 x 768","Figure 3-3.csv","7025-05-000-7119","EX701FB-1","0VRH3","ST-30","0"
"2","Monitor, SVGA, 17 inch, 1024 x 768","Figure 3-3.csv","7025-05-000-7119","E70 (FST)","0V618","ST-30","0"
"3","Cable Assembly, external video","Figure 3-3.csv","6150-04-000-6145","156-0593-001","57219","C02E5","1"
"3","Cable Assembly, external video","Figure 3-3.csv","6150-04-000-6145","EVNPS05-0005-MF","59951","C02E5","1"
"4","Switch Assembly, console","Figure 3-3.csv","5930-05-000-2983","32.1557.714-00","57219","Not Stocked Locally",""
"5","Keyboard Assembly, 101 key, rack mounted","Figure 3-3.csv","7025-04-000-6151","299-0023-001","57219","C38S1","0"
"5","Keyboard Assembly, 101 key, rack mounted","Figure 3-3.csv","7025-04-000-6151","G81-1800LPMUS-0","01963","C38S1","0"
"6","Cable, 6 feet, mouse/keyboard","Figure 3-3.csv","6150-04-000-6144","156-0594-001","57219","Not Stocked Locally",""
"7","Hub, 8-port, with power supply","Figure 3-3.csv","7025-04-000-3328","AT-MR815LE-10","0T156","ST-67","1"
